ListingId,delay,CreditCode,Amount,Months,CurrentRate,Gender,EducationDegree,GraduateSchool,StudyStyle,Age,SuccessCount,WasteCount,CancelCount,FailedCount,NormalCount,OverdueLessCount,OverdueMoreCount,OwingPrincipal,OwingAmount,AmountToReceive,FirstSuccessBorrowTime,LastSuccessBorrowTime,RegisterTime,CertificateValidate,NciicIdentityCheck,PhoneValidate,CreditValidate,HighestPrincipal,HighestDebt,TotalPrincipal,XFetchTime
96033987,0,A,12000.0,6,16.0,1,,,,37,4,0,0,0,22,0,0,3874.49,4137.0,0.0,2016-09-02 01:22:14,2017-08-24 03:17:19,2016-09-01 23:01:24,0,0,0,0,7000.0,16073.7,23380.0,2018-01-25 12:07:04
98097502,0,A,700.0,6,16.0,1,专科,黄冈师范学院,普通,25,12,0,0,0,106,7,0,1744.42,1887.23,0.0,2016-01-23 21:58:16,2018-02-06 16:21:53,2016-01-23 21:56:29,0,0,0,0,3500.0,9327.85,20100.0,2018-04-28 13:38:51
124833586,0,A,3000.0,12,16.0,1,本科,绍兴文理学院,成人,33,10,0,0,0,57,0,0,0.0,0.0,0.0,2016-11-22 18:44:17,2018-06-24 15:59:20,2016-11-22 18:16:33,1,0,1,0,12612.0,20746.3,30008.0,2018-08-13 08:19:26
101938341,0,B,8000.0,12,22.0,2,专科,内蒙古经贸外语职业学院,普通,31,7,0,2,0,54,10,0,8390.56,8707.6,0.0,2015-09-14 00:26:25,2017-10-04 10:05:05,2015-09-14 00:24:20,0,0,0,0,10000.0,19878.7,32100.0,2018-03-07 11:33:12
111619109,0,C,950.0,6,28.0,1,,,,23,8,1,0,0,67,4,0,2103.55,2342.31,0.0,2016-07-07 06:33:59,2018-04-13 17:25:56,2016-02-18 11:12:09,0,0,0,0,4512.0,12081.0,19623.0,2018-05-09 12:52:36
109776020,0,C,10000.0,12,28.0,1,,,,32,4,0,0,0,17,0,0,1189.68,1333.38,0.0,2017-03-02 20:09:36,2017-12-04 23:09:02,2017-03-02 18:49:52,0,0,1,0,7000.0,8000.28,15100.0,2018-04-27 14:46:32
111585859,0,A,12140.0,6,16.0,2,本科,贵州师范大学,普通,35,3,0,0,0,23,1,0,0.0,0.0,0.0,2017-08-16 13:56:27,2018-03-02 10:58:11,2017-08-16 13:35:58,1,0,1,0,10000.0,13117.3,17807.0,2018-05-09 09:23:18
99293230,0,A,5418.0,12,16.0,1,本科,南京工程学院,普通,29,10,0,1,0,51,0,0,16682.02,17570.33,0.0,2015-07-21 13:02:34,2017-10-23 20:37:15,2015-07-12 00:39:58,1,0,1,0,30000.0,35253.4,77596.0,2018-02-14 01:12:15
102649429,0,C,10783.0,12,28.0,1,专科,金陵职业大学,普通,35,2,0,1,0,12,2,0,3716.83,3841.15,0.0,2017-05-30 12:47:37,2017-10-09 13:42:18,2017-05-30 11:48:13,0,0,0,0,11400.0,12814.2,15027.0,2018-03-12 12:22:30
112341609,0,B,10000.0,12,22.0,2,专科,中原工学院,普通,32,14,1,0,0,106,1,0,0.0,0.0,0.0,2016-10-28 03:54:24,2018-03-21 22:53:27,2015-11-09 15:47:09,0,0,0,0,10000.0,11002.9,35163.0,2018-05-14 02:24:00
